[20:51:22] [WARNING] mysql_connect: no password specified
[20:53:27] [WARNING] mysql_connect: no password specified
[20:56:26] [WARNING] mysql_connect: no password specified
[20:57:58] [WARNING] mysql_connect: no password specified
[21:23:00] [WARNING] mysql_connect: no password specified
[21:25:53] [WARNING] mysql_connect: no password specified
[21:28:30] [WARNING] mysql_connect: no password specified
[21:30:00] [WARNING] mysql_connect: no password specified
[21:32:31] [WARNING] mysql_connect: no password specified
[00:14:08] [WARNING] mysql_connect: no password specified
[00:17:20] [WARNING] mysql_connect: no password specified
[00:20:11] [WARNING] mysql_connect: no password specified
[00:25:44] [WARNING] mysql_connect: no password specified
[00:41:50] [WARNING] mysql_connect: no password specified
[00:43:30] [WARNING] mysql_connect: no password specified
[00:46:16] [WARNING] mysql_connect: no password specified
[00:49:00] [WARNING] mysql_connect: no password specified
[00:51:30] [WARNING] mysql_connect: no password specified
[00:58:03] [WARNING] mysql_connect: no password specified
[00:59:29] [WARNING] mysql_connect: no password specified
[01:03:29] [WARNING] mysql_connect: no password specified
[02:14:35] [WARNING] mysql_connect: no password specified
[13:26:15] [WARNING] mysql_connect: no password specified
[14:09:56] [WARNING] mysql_connect: no password specified
[14:12:28] [WARNING] mysql_connect: no password specified
[14:16:27] [WARNING] mysql_connect: no password specified
[14:21:15] [WARNING] mysql_connect: no password specified
[14:23:39] [WARNING] mysql_connect: no password specified
[14:25:06] [WARNING] mysql_connect: no password specified
[14:28:58] [WARNING] mysql_connect: no password specified
[14:29:57] [WARNING] mysql_connect: no password specified
[15:10:50] [WARNING] mysql_connect: no password specified
[15:57:15] [WARNING] mysql_connect: no password specified
[15:59:16] [WARNING] mysql_connect: no password specified
[16:01:43] [WARNING] mysql_connect: no password specified
[16:04:47] [WARNING] mysql_connect: no password specified
[16:06:11] [WARNING] mysql_connect: no password specified
[23:57:35] [WARNING] mysql_connect: no password specified
[00:01:16] [WARNING] mysql_connect: no password specified
[13:51:39] [WARNING] mysql_connect: no password specified
[14:30:16] [WARNING] mysql_connect: no password specified
[11:30:53] [WARNING] mysql_connect: no password specified
[11:34:32] [ERROR] mysql_format: destination size '400' is too small
[11:34:32] [ERROR] error #1065 while executing query "": Query was empty
[11:40:43] [WARNING] mysql_connect: no password specified
[11:42:08] [ERROR] error #1054 while executing query "SELECT player_password, player_id FROM accounts WHERE player_nombre = 'Arthur_Tower' LIMIT 1": Unknown column 'player_nombre' in 'where clause'
[11:46:20] [WARNING] mysql_connect: no password specified
[11:46:46] [WARNING] mysql_connect: no password specified
[11:47:06] [ERROR] error #1054 while executing query "SELECT player_password, player_id FROM accounts WHERE player_nombre = 'Arthur_Tower' LIMIT 1": Unknown column 'player_nombre' in 'where clause'
[11:50:15] [WARNING] mysql_connect: no password specified
[15:10:52] [WARNING] mysql_connect: no password specified
[15:16:31] [WARNING] mysql_connect: no password specified
